unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/rhox_mar_custom_only	
hkrul_lector_manann	rhox_mar_military
snek_hkrul_mar_landship	rhox_mar_military
hkrul_pg	rhox_mar_military
hkrul_pg_barded_warhorse	rhox_mar_military
hkrul_jk	rhox_mar_military
hkrul_jk_barded_warhorse	rhox_mar_military
hkrul_hendrik	rhox_mar_military
hkrul_hendrik_warhorse	rhox_mar_military
hkrul_hendrik_pegasus	rhox_mar_military
hkrul_mar_handguns	rhox_mar_military
hkrul_privateers	rhox_mar_military
hkrul_privateers_dual_swords	rhox_mar_military
hkrul_solkan	rhox_mar_military
hkrul_solkan_horse	rhox_mar_military
hkrul_crispijn	rhox_mar_military
hkrul_mar_bordermen_ror	rhox_mar_military
hkrul_mar_egmond	rhox_mar_military
hkrul_mar_egmond_horse	rhox_mar_military
hkrul_mar_egmond_longma	rhox_mar_military
hkrul_mar_munvard_01	rhox_mar_military
hkrul_mar_munvard_02	rhox_mar_military
hkrul_burgher	rhox_mar_military
hkrul_mar_black_caps	rhox_mar_military
hkrul_mar_cav_rijders	rhox_mar_military
hkrul_mar_cav_rijders_crossbow	rhox_mar_military
hkrul_mar_sons_of_manann	rhox_mar_military
hkrul_mar_culverin	rhox_mar_military
hkrul_mar_art_paixhan_ror	rhox_mar_military
hkrul_mar_hellblaster	rhox_mar_military
hkrul_mar_knights_griffon	rhox_mar_military
hkrul_mar_hellstorm	rhox_mar_military
hkrul_mar_mortar	rhox_mar_military
hkrul_mar_teuling	rhox_mar_military
hkrul_mar_naval_paixhan	rhox_mar_military
hkrul_mar_mananns_blades_ror	rhox_mar_military
hkrul_mar_riverwarden_ror	rhox_mar_military
hkrul_mar_riverwarden	rhox_mar_military
hkrul_mar_qual	rhox_mar_military
hkrul_mar_qual_great	rhox_mar_military
hkrul_pion_cus_emp	wh_main_group_empire
hkrul_klumpf_cus_emp	wh_main_group_empire
hkrul_carriers_ror_cus_emp	wh_main_group_empire
hkrul_mar_art_paixhan_ror_cus_emp	wh_main_group_empire
hkrul_mar_mananns_blades_ror_cus_emp	wh_main_group_empire
hkrul_mar_bordermen_ror_cus_emp	wh_main_group_empire
hkrul_mar_defenders_cus_emp	wh_main_group_empire
hkrul_mar_teuling_cus_emp	wh_main_group_empire
snek_hkrul_mar_ror_landship_cus_emp	wh_main_group_empire
hkrul_mar_riverwarden_ror_cus_emp	wh_main_group_empire
hkrul_lisette	rhox_mar_military
hkrul_mar_talons	rhox_mar_military
rhox_mar_cst_inf_sartosa_free_company_0	wh_main_group_empire
rhox_mar_cst_inf_sartosa_militia_0	wh_main_group_empire
rhox_mar_cst_inf_sartosa_free_company_0	rhox_mar_military
rhox_mar_cst_inf_sartosa_militia_0	rhox_mar_military
hkrul_mar_talons_cus_emp	wh_main_group_empire
hkrul_fooger_ror	rhox_mar_military
