unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/hkrul_mar_cav_art	
hkrul_mar_cav_rijders	wh_main_group_empire
hkrul_mar_cav_rijders_crossbow	wh_main_group_empire
hkrul_mar_sons_of_manann	wh_main_group_empire
hkrul_mar_culverin	wh_main_group_empire
hkrul_mar_art_paixhan_ror	wh_main_group_empire
hkrul_mar_hellblaster	wh_main_group_empire
hkrul_mar_knights_griffon	wh_main_group_empire
hkrul_mar_hellstorm	wh_main_group_empire
hkrul_mar_mortar	wh_main_group_empire
hkrul_mar_teuling	wh_main_group_empire
hkrul_mar_naval_paixhan	wh_main_group_empire
hkrul_mar_cleansing_flame	wh_main_group_empire
hkrul_mar_bordermen_ror	wh_main_group_empire
hkrul_mar_cav_rijders	wh_main_group_empire_reikland
hkrul_mar_cav_rijders_crossbow	wh_main_group_empire_reikland
hkrul_mar_sons_of_manann	wh_main_group_empire_reikland
hkrul_mar_culverin	wh_main_group_empire_reikland
hkrul_mar_art_paixhan_ror	wh_main_group_empire_reikland
hkrul_mar_hellblaster	wh_main_group_empire_reikland
hkrul_mar_knights_griffon	wh_main_group_empire_reikland
hkrul_mar_hellstorm	wh_main_group_empire_reikland
hkrul_mar_mortar	wh_main_group_empire_reikland
hkrul_mar_teuling	wh_main_group_empire_reikland
hkrul_mar_naval_paixhan	wh_main_group_empire_reikland
hkrul_mar_cleansing_flame	wh_main_group_empire_reikland
hkrul_mar_bordermen_ror	wh_main_group_empire_reikland
