unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/rhox_mar_vanilla_units_custom_only	
wh2_dlc13_emp_cha_huntsmarshal_0	rhox_mar_military
wh2_pro07_emp_cha_wizard_death_0	rhox_mar_military
wh2_pro07_emp_cha_wizard_death_2	rhox_mar_military
wh2_pro07_emp_cha_wizard_death_3	rhox_mar_military
wh_dlc03_emp_cha_wizard_beasts_0	rhox_mar_military
wh_dlc03_emp_cha_wizard_beasts_2	rhox_mar_military
wh_dlc03_emp_cha_wizard_beasts_3	rhox_mar_military
wh_dlc03_emp_cha_wizard_beasts_4	rhox_mar_military
wh_dlc04_emp_cha_arch_lector_0	rhox_mar_military
wh_dlc04_emp_cha_arch_lector_2	rhox_mar_military
wh_dlc05_emp_cha_wizard_life_0	rhox_mar_military
wh_dlc05_emp_cha_wizard_life_2	rhox_mar_military
wh_dlc05_emp_cha_wizard_life_3	rhox_mar_military
wh_dlc05_emp_cha_wizard_shadows_0	rhox_mar_military
wh_dlc05_emp_cha_wizard_shadows_2	rhox_mar_military
wh_dlc05_emp_cha_wizard_shadows_3	rhox_mar_military
wh_main_emp_cha_captain_0	rhox_mar_military
wh_main_emp_cha_captain_2	rhox_mar_military
wh_main_emp_cha_captain_3	rhox_mar_military
wh_main_emp_cha_general_0	rhox_mar_military
wh_main_emp_cha_general_1	rhox_mar_military
wh_main_emp_cha_general_2	rhox_mar_military
wh_main_emp_cha_general_3	rhox_mar_military
wh_main_emp_cha_warrior_priest_0	rhox_mar_military
wh_main_emp_cha_warrior_priest_2	rhox_mar_military
wh_main_emp_cha_witch_hunter	rhox_mar_military
wh_main_emp_cha_wizard_fire_0	rhox_mar_military
wh_main_emp_cha_wizard_fire_2	rhox_mar_military
wh_main_emp_cha_wizard_fire_3	rhox_mar_military
wh_main_emp_cha_wizard_heavens_0	rhox_mar_military
wh_main_emp_cha_wizard_heavens_2	rhox_mar_military
wh_main_emp_cha_wizard_heavens_4	rhox_mar_military
wh_main_emp_cha_wizard_light_0	rhox_mar_military
wh_main_emp_cha_wizard_light_2	rhox_mar_military
wh_main_emp_cha_wizard_light_4	rhox_mar_military
wh2_dlc13_emp_inf_archers_ror_0	rhox_mar_military
