ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_mar_caravan	
wh_dlc04_unit_passive_unbinding_grave_guard	hkrul_mar_inf_cairn_wraiths_summoned_0
wh_main_unit_passive_unstable	hkrul_mar_inf_cairn_wraiths_summoned_0
wh_main_unit_passive_unstable_mark_ii	hkrul_mar_inf_cairn_wraiths_summoned_0
hkrul_mundvard_ability_shadow_walk	hkrul_mar_munvard_01
hkrul_mundvard_ability_shadow_walk	hkrul_mar_munvard_02
wh2_dlc17_hero_abilities_more_powder_generic	hkrul_harb
wh3_main_unit_passive_single_entity	hkrul_harb
wh_main_hero_abilities_ballistics_calibration	hkrul_harb
wh_main_hero_passive_extra_powder	hkrul_harb
wh_main_unit_abilities_entrenchment	hkrul_harb
wh_pro01_lord_abilities_flash_bomb	hkrul_harb
