bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_mar_infantry_missile	
weak_anti_armour	hkrul_mar_inf_boogschutter
anti_large	hkrul_mar_art_scheepskanon
armour_piercing_ranged	hkrul_mar_art_scheepskanon
good_range	hkrul_mar_art_scheepskanon
good_range	hkrul_mar_inf_crossbow
anti_infantry	hkrul_mar_inf_greatsword
armour_piercing	hkrul_mar_inf_greatsword
armoured	hkrul_mar_inf_greatsword
anti_large	hkrul_mar_inf_halberd
armour_piercing	hkrul_mar_inf_halberd
charge_reflector_vs_large	hkrul_mar_inf_halberd
shielded	hkrul_mar_inf_swords
charge_reflector_vs_large	hkrul_mar_inf_goedendagers
anti_infantry	hkrul_mar_inf_goedendagers
shielded	hkrul_mar_mananns_blades_ror
anti_infantry	hkrul_mar_mananns_blades_ror
aquatic	hkrul_mar_mananns_blades_ror
magical_aura	hkrul_mar_mananns_blades_ror
charge_reflector_vs_large	hkrul_mar_riverwarden
anti_large	hkrul_mar_riverwarden
vanguard_deployment	hkrul_mar_riverwarden
shielded	hkrul_mar_riverwarden
charge_reflector_vs_large	hkrul_mar_riverwarden_ror
anti_large	hkrul_mar_riverwarden_ror
vanguard_deployment	hkrul_mar_riverwarden_ror
fire_whilst_moving	hkrul_mar_riverwarden_ror
armoured_and_shielded	hkrul_mar_qual
charge_reflector_vs_large	hkrul_mar_qual
armour_piercing_melee	hkrul_mar_qual_great
armoured	hkrul_mar_qual_great
decent_melee	hkrul_mar_qual_great
anti_infantry	hkrul_mar_defenders
armour_piercing	hkrul_mar_defenders
armoured	hkrul_mar_defenders
anti_infantry	hkrul_mar_teuling
armour_piercing	hkrul_mar_teuling
armoured	hkrul_mar_teuling
charge_reflector_vs_large	hkrul_mar_black_caps
anti_infantry	hkrul_mar_black_caps
decent_melee	hkrul_mar_talons
armour_piercing_ranged	hkrul_mar_talons
armour_piercing_ranged	hkrul_mar_inf_handgun
armour_piercing_ranged	hkrul_mar_handguns
anti_infantry	rhox_mar_cst_inf_sartosa_free_company_0
aquatic	rhox_mar_cst_inf_sartosa_free_company_0
vanguard_deployment	rhox_mar_cst_inf_sartosa_free_company_0
aquatic	rhox_mar_cst_inf_sartosa_militia_0
decent_melee	rhox_mar_cst_inf_sartosa_militia_0
hybrid	rhox_mar_cst_inf_sartosa_militia_0
vanguard_deployment	rhox_mar_cst_inf_sartosa_militia_0
weak_anti_armour	rhox_mar_cst_inf_sartosa_militia_0
armour_piercing	hkrul_fooger_ror
armoured	hkrul_fooger_ror
fast_dwarf	hkrul_fooger_ror
