attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/hkrul_camille	
causes_fear	ovn_mar_mon_augas_fish_summoned_0_attributes
strider	ovn_mar_mon_augas_fish_summoned_0_attributes
encourages	ovn_mar_cha_wizard_sea_0_attributes
hide_forest	ovn_mar_cha_wizard_sea_0_attributes
encourages	ovn_mar_cha_wizard_sea_1_attributes
hide_forest	ovn_mar_cha_wizard_sea_1_attributes
encourages	ovn_mar_cha_wizard_sea_2_attributes
hide_forest	ovn_mar_cha_wizard_sea_2_attributes
unbreakable	hkrul_manann_flagellant
hide_forest	hkrul_manann_flagellant
