ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/rhox_mar			
hkrul_mar_testament	hkrul_mar_innate_reikland	faction_to_faction_own_unseen	25.0000
hkrul_mar_heir	wh_main_faction_political_diplomacy_mod_empire	character_to_faction_unseen	-5.0000
hkrul_mar_baron	wh_dlc05_faction_political_diplomacy_mod_bretonnia	character_to_faction_unseen	-5.0000
hkrul_mar_baron	wh_dlc03_effect_force_stat_leadership_vs_bretonnia	character_to_force_own	8.0000
hkrul_mar_rat	wh2_main_faction_political_diplomacy_mod_skaven	character_to_faction_unseen	10.0000
hkrul_mar_rat	wh3_main_effect_allegiance_points_mod_skaven	character_to_faction_unseen	20.0000
hkrul_mar_bonsai	wh_main_effect_economy_gdp_mod_all	character_to_region_own	5.0000
hkrul_mar_thom	wh_main_effect_building_construction_cost_mod	character_to_region_own	-15.0000
hkrul_mar_gote	wh_main_effect_force_stat_ammunition_artillery	character_to_force_own	10.0000
hkrul_mar_gote	wh_main_effect_character_stat_range	character_to_force_own	10.0000
hkrul_mar_lupo	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
hkrul_mar_lupo	hkrul_mar_enable_lupo	character_to_character_own	1.0000
hkrul_mar_testament	wh_main_effect_public_order_characters	character_to_province_own	-5.0000
hkrul_mar_heir	wh_dlc03_effect_force_stat_leadership_vs_empire	character_to_force_own	6.0000
hkrul_mar_thom	wh_main_effect_character_stat_melee_defence	character_to_force_own	3.0000
rhox_mar_frost_wyrm_skull	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000
rhox_mar_frost_wyrm_skull	wh_main_effect_force_stat_missile_resistance	character_to_force_own	4.0000
rhox_mar_grant_of_land	wh_main_effect_economy_gdp_mod_all	character_to_region_own_factionwide	5.0000
rhox_mar_bejewelled_dagger	wh2_dlc10_effect_ability_enable_rebirth	character_to_character_own	1.0000
rhox_mar_bejewelled_dagger	wh_main_effect_character_stat_ward_save	character_to_character_own	25.0000
rhox_mar_mirror_blade	wh_main_effect_character_stat_ap_damage	character_to_character_own	15.0000
rhox_mar_mirror_blade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
rhox_mar_mirror_blade	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
