key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/rhox_fooger		
rhox_fooger_wh_main_dwf_inf_miners_0	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_inf_miners_1	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_inf_longbeards	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_inf_longbeards_1	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_inf_thunderers_0	ovn_mar_house_fooger	true
rhox_fooger_wh_dlc06_dwf_inf_rangers_0	ovn_mar_house_fooger	true
rhox_fooger_wh_dlc06_dwf_inf_rangers_1	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_art_organ_gun	ovn_mar_house_fooger	true
rhox_fooger_wh_main_dwf_inf_hammerers	ovn_mar_house_fooger	true
hkrul_mar_fooger_qual	ovn_mar_house_fooger	true
hkrul_mar_fooger_qual_great	ovn_mar_house_fooger	true
ovn_mar_mon_augas_fish_0	rhox_rogue_spirits_of_stromfel	true
ovn_mar_mon_augas_fish_1	rhox_rogue_spirits_of_stromfel	true
chaos_whale_cst_kou	rhox_rogue_spirits_of_stromfel	true
urg_kho_inf_sphenisci_daemon	rhox_rogue_spirits_of_stromfel	true
urg_nur_inf_sphenisci_daemon	rhox_rogue_spirits_of_stromfel	true
urg_sla_inf_sphenisci_daemon	rhox_rogue_spirits_of_stromfel	true
urg_tze_inf_sphenisci_daemon	rhox_rogue_spirits_of_stromfel	true
urg_dae_inf_sphenisci_daemon	rhox_rogue_spirits_of_stromfel	true
