attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_marienburg_supplement	
non_vampire_territory	hkrul_dauphine
deep_sea	hkrul_dauphine
non_vampire_territory	ovn_mar_cha_wizard_sea_0
deep_sea	ovn_mar_cha_wizard_sea_0
non_vampire_territory	ovn_mar_cha_wizard_sea_1
non_vampire_territory	ovn_mar_cha_wizard_sea_2
deep_sea	hkrul_dauphine_1
non_vampire_territory	hkrul_dauphine_1
deep_sea	hkrul_dauphine_2
non_vampire_territory	hkrul_dauphine_2
deep_sea	hkrul_dauphine_3
non_vampire_territory	hkrul_dauphine_3
deep_sea	hkrul_manann_flagellant
non_vampire_territory	hkrul_manann_flagellant
mountain	hkrul_fooger
snow	hkrul_fooger
non_vampire_territory	hkrul_fooger
mountain	hkrul_fooger_caravan_master
non_vampire_territory	hkrul_fooger_caravan_master
snow	hkrul_fooger_caravan_master
non_vampire_territory	ovn_mar_mon_augas_fish_1
non_vampire_territory	ovn_mar_mon_augas_fish_0
deep_sea	ovn_mar_mon_augas_fish_1
deep_sea	ovn_mar_mon_augas_fish_0
non_vampire_territory	hkrul_arbatt_horse
non_vampire_territory	hkrul_arbatt_pegasus
chaos_territory	urg_dae_inf_sphenisci_daemon
chaos_wastes	urg_dae_inf_sphenisci_daemon
non_vampire_territory	urg_dae_inf_sphenisci_daemon
chaos_territory	urg_kho_inf_sphenisci_daemon
chaos_wastes	urg_kho_inf_sphenisci_daemon
non_vampire_territory	urg_kho_inf_sphenisci_daemon
snow	urg_kho_inf_sphenisci_daemon
chaos_territory	urg_nur_inf_sphenisci_daemon
chaos_wastes	urg_nur_inf_sphenisci_daemon
non_vampire_territory	urg_nur_inf_sphenisci_daemon
snow	urg_nur_inf_sphenisci_daemon
chaos_territory	urg_sla_inf_sphenisci_daemon
chaos_wastes	urg_sla_inf_sphenisci_daemon
non_vampire_territory	urg_sla_inf_sphenisci_daemon
snow	urg_sla_inf_sphenisci_daemon
chaos_territory	urg_tze_inf_sphenisci_daemon
chaos_wastes	urg_tze_inf_sphenisci_daemon
non_vampire_territory	urg_tze_inf_sphenisci_daemon
snow	urg_tze_inf_sphenisci_daemon
